Section,Command,Description,Parameters,Examples
,AT+CREG,查询模组当前网络注册状态信息,,
,AT+CREG,查询模组网络注册状态值范围,,
,AT+CREG,入参错误，返回error,,
,AT+CEREG,允许网络注册主动提供结果代码,,
,AT+CEREG,查询参数设置范围,,
,AT+COPS,设置成数字模式,,
,AT+COPS,中国移动,,
,AT+COPS,如果是设置成数字模式，那么得到的是数字46000,,
,AT+COPS,中国联通,,
,AT+COPS,如果是设置成数字模式，那么得到的是数字46001,,
,AT+COPS,中国电信,,
,AT+COPS,如果是设置成数字模式，那么得到的是数字46011,,
,AT+COPS,注销网络,,
,AT+CIMI,不插SIM卡，返回ERROR,,
,AT+CCID,不插SIM卡时，返回ERROR,,
,AT+IPR,波特率查询,,
,AT+IPR,查询波特率设置范围,,
,AT+IPR,"模组波特率设为不允许的值
出错",,
,AT+CFUN,查询当前功能状态，全功能状态,,
,AT+CFUN,查询指令可设置参数范围,,
,AT+CFUN,设置不允许的参数,,
,AT+CMUX,查询指令参数可设置范围,,
,AT+CMUX,查询当前参数,,
,AT+CMUX,设置不允许的参数,,
,AT+CCLK,查询模组当前的时钟,,
,AT+CCLK,设置时间必须为字符串格式,,
,AT+CPIN,"查询是否需要输入PIN码
需要输入PIN码


输入正确的PIN码

卡解锁",,
,AT+CPIN,"输入错误的PIN码三次以上，需要输入PUK码来解锁


输入PUK码，并输入新的PIN码

卡解锁",,
,AT+CLCK,查询模组相关网络信息。,,
,AT+CLCK,锁定SIM卡，其中“1234”为当前SIM卡的PIN码.,,
,AT+CLCK,解锁SIM卡，其中“1234”为当前SIM卡的PIN码。,,
,AT+CLCK,PIN码错误。,,
,AT+CPWD,修改当前SIM卡的PIN码，其中1234为旧的PIN码，0000为新的PIN码。,,
,AT+CPWD,"指令格式错误，需带双引号""""。",,
,AT+Cgdcont,查询当前PDP格式。,,
,AT+CGDCONT,,,
,AT+CGDCONT,查询设置PDP格式的取值范围。,,
,AT+cgdcont,入参错误，返回error,,
,AT+XGAUTH,查询参数值范围。,,
,AT+xgauth,设置xgauth参数时cid 非法,,
,AT+CGATT,GPRS分离成功。,,
,AT+CGATT,在建立PPP链接（AT+XIIC=1）后，使用该指令的返回值。,,
,AT+CGATT,不插SIM时，返回ERROR。,,
,AT+CGATT,查询GPRS状态。,,
,AT+CGATT,查询指令支持参数。,,
,ATE0,"关闭模组AT指令回显功能

发送AT，串口工具只显示“OK”",,
,AT+CESQ,信号显示范围,,
,AT+NWDNS,查询google域名，返回结果。,,
,AT+NWDNS,未拨号，查询DNS解析结果，返回ERROR,,
,AT+NWDNS,查询获取到的IP,,
,AT+NWENPWRSAVE,查询模组休眠模式使能状态,,
,AT+NWPWROFF,设置参数错误,,
,AT+NWRFTEST,查询模组当前是否处于测试模式,,
,AT+NWRFTEST,设置模组进入测试模式,,
,AT+NWRFTEST,LTE Band 1 上进行强收测试，预期接收功率为-60db,,
,AT+NWRFTEST,入参错误，返回error,,
,AT+CSMS,设置错误参数,,
,AT+CSMS,查询指令当前设置的参数值,,
,AT+CSMS,查询短信服务取值范围,,
,AT+CPMS,设置错误参数,,
,AT+CPMS,查询当前使用的短信存储器容量,,
,AT+CPMS,查询可设置的存储器,,
,AT+CMGF,设置错误参数,,
,AT+CMGF,查询当前短信输入模式,,
,AT+CMGF,查询设置短信模式的取值范围,,
,AT+CSCS,设置错误字符集,,
,AT+CSCS,查询当前字符集格式,,
,AT+CSCS,"查询模组支持的字符集格式，
返回字符集格式的列表",,
,AT+CNMI,设置错误参数,,
,AT+CNMI,查询指令参数可设置的范围,,
,AT+CNMI,查询指令当前设置参数值,,
,AT+CMGF,"设置PDU模式





来短信
读短信",,
,AT+CMGF,"设置文本模式



来短信
读短信",,
,AT+CMGL,Text格式（AT+CMGF=1）下查询,,
,AT+CMGL,PDU格式（AT+CMGF=0）下查询,,
,AT+CMGL,指令参数格式错误，缺少双引号,,
,AT+CMGF,应该设置AT+CMGF=0,,
,AT+CMGF,应该设置AT+CMGF=1,,
,AT+CMGS,有可能未进行设置AT+CMGF=1；“”符号代表Ctrl+Z,,
,AT+CMGS,PDU 格式(+CMGF=0),,
,AT+CMGW,PDU 模式 (+CMGF=0),,
,AT+CMSS,存储器中无记录2的短信或者是存储在记录2中的短信号码错误,,
,AT+CMGD,"查询指令支持的参数值
注释：index示例为1,2,3,4  实际以可删除的短信列表为准",,
,AT+CMGD,存储记录5中没有短信可删除,,
,AT+CSCA,查询短信中心号码,,
,AT+CSMP,查询当前文本模式参数设置,,
,AT+CSDH,"设置显示详细的头信息
读取第0条短信",,
,AT+CSDH,查询指令当前设置参数,,
,AT+CSDH,查询当前指令取值范围,,
